uid	sid
0	1784
0	1814
0	2812
0	4397
0	5434
1	991
1	1206
1	1657
1	1920
1	3755
1	4392
1	5325
1	5465
1	5517
1	6347
1	6718
2	2864
2	2946
2	4446
2	4744
2	5878
2	6134
2	6467
2	6891
2	7770
3	1703
3	1827
3	2402
3	2466
3	2746
3	2889
3	3177
3	4457
3	5878
4	414
4	742
4	769
4	1814
4	1829
4	2114
4	2118
4	4543
4	5174
4	5392
4	5559
4	5909
4	6995
4	7015
4	7264
5	406
5	1657
5	2149
5	2979
5	3132
5	4193
5	5358
5	5808
5	7109
5	7609
5	7917
6	2030
6	2149
6	3331
6	4371
6	6305
7	93
7	3949
7	5434
7	5944
7	7092
8	158
8	1133
8	1641
8	1642
8	2824
8	2906
8	4551
8	4805
8	6877
8	6886
9	140
9	734
9	903
9	956
9	1189
9	3537
9	4171
9	4330
9	5028
10	2979
10	3564
10	3583
10	3888
10	4036
10	4140
10	4403
10	4530
11	2390
11	2903
11	3569
11	3665
11	4666
11	5884
12	93
12	2402
12	2408
12	2481
12	3052
12	3888
12	3898
12	3938
12	3983
12	4371
12	4392
12	4572
12	5174
12	5176
12	6334
12	6844
12	6974
12	7289
12	7846
13	660
13	1286
13	1657
13	2466
13	2716
13	3125
14	657
14	1219
14	1622
14	3331
14	5434
14	5563
15	1642
15	1995
15	3045
15	3331
15	3553
15	3681
15	4397
15	4974
15	5836
15	6153
16	405
16	414
16	627
16	1360
16	2440
16	3010
16	3397
16	4491
16	4572
16	4691
16	5826
16	6361
16	6493
16	6877
16	6878
16	7071
16	7109
16	7214
16	7218
16	7362
16	7431
17	61
17	93
17	1934
17	2103
17	2197
17	2481
17	2521
17	3034
17	3155
17	4394
17	6949
17	7266
17	7333
17	7486
18	732
18	2979
18	4403
18	4935
18	4969
18	5049
18	5657
19	1189
19	1999
19	2438
19	2490
19	2504
19	2602
19	3050
19	3259
19	3583
19	3755
19	3888
19	4139
19	5039
19	5401
19	5434
19	5702
19	7431
20	432
20	1605
20	1846
20	2426
20	2501
20	2979
21	311
21	742
21	1475
21	2510
21	4540
21	5358
21	5368
22	1077
22	1086
22	3331
22	4206
22	4957
22	4967
22	6383
22	6493
23	261
23	1087
23	1657
23	2097
23	2366
23	2449
23	3052
23	3056
23	3058
23	4449
23	5042
23	5465
23	5711
23	5712
23	5847
23	6774
23	7238
24	653
24	2140
24	2486
24	4233
24	4677
24	5005
25	1814
25	2066
25	2236
25	2441
25	2445
25	2449
25	2466
25	3331
25	3814
25	4301
25	5909
26	61
26	90
26	174
26	248
26	2333
26	2466
26	2799
26	2826
26	2951
26	3056
26	3059
26	3476
26	3972
26	4404
26	5569
26	6891
26	6949
26	7371
27	261
27	276
27	432
27	3331
27	3524
27	3564
27	3755
27	4394
27	4503
27	4626
27	4633
27	4935
27	5049
27	5510
27	6493
27	6720
27	6919
27	7553
27	7846
28	2097
28	2315
28	2343
28	3564
28	3583
28	3888
28	3989
28	4139
28	4301
28	4302
28	4361
28	4394
28	4530
29	81
29	93
29	113
29	328
29	1746
29	2110
29	2134
29	2498
29	2544
29	3033
29	3048
29	3052
29	3474
29	3592
29	3755
29	3781
29	4404
29	4570
29	6774
29	7015
29	7240
30	1496
30	1957
30	1980
30	2407
30	2423
30	2838
30	3814
30	4392
30	4503
30	5569
30	5844
31	978
31	1657
31	3052
31	3574
31	3949
31	4392
31	4468
31	5117
31	5306
31	5322
31	5384
31	5392
31	5403
31	5512
31	5613
31	5789
31	5808
31	5844
31	6518
31	6774
31	7453
32	2886
32	3474
32	3934
32	4081
32	4119
32	4406
32	4426
32	5564
32	6335
32	6610
32	7323
32	7577
33	1904
33	2896
33	2967
33	4853
33	6600
33	6688
33	7622
33	7861
34	1549
34	2729
34	3564
34	6347
34	7016
34	7130
34	7469
34	7546
35	553
35	745
35	1629
35	2236
35	2253
35	2905
35	4550
36	1721
36	3574
36	3983
36	5392
36	5563
36	5573
36	6485
36	7015
36	7453
37	192
37	414
37	661
37	1587
37	1692
37	1700
37	1721
37	2245
37	2450
37	2675
37	3093
37	3665
37	5048
37	5404
37	5504
37	5512
37	5655
37	5860
37	6644
37	6964
37	6974
37	7015
37	7122
37	7484
37	7536
37	7760
37	7785
37	7863
38	1553
38	3795
38	3992
38	4403
38	5879
38	6084
38	6688
38	6844
39	25
39	56
39	357
39	501
39	754
39	1006
39	1583
39	1967
39	2590
39	2700
39	2932
39	4132
39	4237
39	4240
39	4534
39	4841
39	5190
39	5598
39	5635
39	6384
39	6391
40	2236
40	3052
40	3232
40	3564
40	3811
40	5675
40	5844
40	6485
40	6580
40	7599
40	7941
41	3972
41	3978
41	4873
41	5042
41	5174
41	5325
41	5392
41	5403
41	5404
41	5465
41	6734
41	6774
41	7015
42	499
42	3499
42	5864
42	6058
42	6734
42	7599
42	7927
43	1249
43	2903
43	2988
43	3336
43	3341
43	6084
43	7890
44	627
44	773
44	1846
44	2838
44	4081
44	5598
44	5721
44	5878
44	5975
44	6050
44	6878
45	333
45	2253
45	3089
45	3574
45	4105
45	4584
45	4954
45	5362
45	5487
45	6718
45	7486
46	616
46	1657
46	3459
46	4633
46	5465
46	5512
46	6477
46	6819
46	6951
47	2315
47	2602
47	3564
47	3927
47	5095
47	6774
47	7520
48	93
48	475
48	553
48	3948
48	4969
48	5281
48	5362
48	5573
48	5591
48	6153
48	6235
48	6250
48	6521
48	6737
48	6995
49	414
49	769
49	1814
49	2119
49	2406
49	2466
49	3564
49	4371
49	5117
49	5325
49	5371
49	5434
49	5844
49	5864
49	6734
49	6995
49	7388
49	7425
49	7599
49	7947
50	158
50	330
50	421
50	662
50	680
50	742
50	773
50	1481
50	1951
50	2012
50	2114
50	2236
50	2245
50	2262
50	2445
50	3036
50	3039
50	3988
50	4194
50	4371
50	4457
50	5381
50	5465
50	5510
50	5628
50	5864
50	5878
50	5909
50	6926
51	575
51	1189
51	2065
51	2648
51	2924
51	3356
51	3721
51	4194
51	4348
51	4503
51	4625
51	4729
51	5437
51	5879
51	6050
51	6384
51	6819
52	2047
52	2236
52	2739
52	2884
52	4393
52	4397
52	5639
52	5878
52	7210
53	754
53	758
53	2119
53	2253
53	2489
53	2501
53	3331
53	3948
53	4572
53	5283
53	5403
53	5864
53	6153
53	6735
54	553
54	3735
54	4566
54	5798
54	5909
54	6485
54	7425
54	7773
55	780
55	2047
55	2449
55	2617
55	2664
55	3362
55	3480
55	3499
55	3994
55	4595
55	5084
55	5354
55	5878
55	6526
56	1360
56	3755
56	4569
56	4626
56	4969
56	5042
56	5174
56	6485
56	6949
57	2149
57	2232
57	2333
57	2950
57	3307
57	7544
58	813
58	1400
58	1484
58	2837
58	4409
58	5018
58	5610
59	118
59	2143
59	3308
59	4103
59	4392
59	4394
59	5253
59	5878
59	6207
59	6734
59	6774
59	6919
59	7238
59	7395
59	7436
60	516
60	2114
60	2424
60	3125
60	3811
60	3814
60	3948
60	4394
60	5403
60	5844
60	5864
60	5909
60	5944
60	7266
61	332
61	1045
61	2286
61	2291
61	2336
61	2808
61	3013
61	3392
61	4031
61	4712
61	7831
62	93
62	1073
62	1657
62	1846
62	2979
62	3052
62	3388
62	3574
62	3583
62	3931
62	5176
62	5465
62	5808
62	6448
63	3994
63	4873
63	5042
63	5049
63	5095
63	5174
63	5216
63	5257
63	5325
63	5392
63	5403
63	5404
63	5465
63	5512
63	5533
63	5573
63	5609
63	5613
63	5630
63	5660
63	5675
63	5676
63	5808
63	6493
63	7015
64	2216
64	2426
64	6405
64	6799
64	7446
64	7870
65	254
65	397
65	1012
65	1360
65	1511
65	1657
65	2406
65	2838
65	3191
65	3353
65	4313
65	6462
65	7810
66	723
66	924
66	2024
66	2368
66	2449
66	3611
66	4834
66	5141
66	5878
66	6387
67	248
67	1657
67	2097
67	3583
67	3755
67	4392
67	4403
67	5322
67	5403
67	5655
67	5808
67	6153
67	6774
67	7794
68	81
68	773
68	2114
68	2421
68	2426
68	3058
68	3665
68	3811
68	4569
68	5174
68	5322
68	5403
68	5465
68	5510
68	5512
68	5613
68	5695
68	5711
68	7898
69	520
69	1824
69	4943
69	5400
69	5586
69	6734
70	285
70	299
70	300
70	301
70	302
70	371
70	475
70	1763
70	1854
70	1855
70	1857
70	1873
70	2069
70	3052
70	4939
70	4941
70	4944
70	5563
70	5609
70	5613
70	5878
70	6301
70	6493
70	7679
71	244
71	2003
71	2236
71	2257
71	2521
71	2839
71	2894
71	3051
71	3176
71	3331
71	4904
72	800
72	3247
72	4371
72	4677
72	5466
72	6995
73	2408
73	2602
73	3938
73	3948
73	3949
73	5400
73	5602
73	5687
73	6613
73	6774
74	553
74	1120
74	1217
74	2861
74	4312
74	5739
74	5741
74	5780
74	5878
74	6440
75	742
75	769
75	919
75	1405
75	2249
75	2407
75	2903
75	4103
75	5844
75	5909
75	6737
75	7739
75	7863
76	1280
76	1642
76	2114
76	2421
76	2660
76	2835
76	3250
76	3428
76	3750
76	3877
76	3945
76	4309
76	4397
76	4403
76	5042
76	5061
76	6084
77	1086
77	2618
77	2698
77	3035
77	3064
77	3381
77	5232
77	5773
77	6257
77	6514
77	7510
78	81
78	118
78	129
78	140
78	627
78	732
78	868
78	1455
78	3058
78	4075
78	4391
78	4550
78	5434
78	5436
78	5711
78	6493
78	6580
78	6693
78	6877
78	6964
78	7620
79	193
79	745
79	773
79	2245
79	2426
79	3949
79	4677
79	5155
79	5730
79	5844
79	5864
79	6912
79	6964
79	7955
80	93
80	801
80	3988
80	4403
80	4935
80	5666
81	602
81	3742
81	4641
81	4803
81	6761
81	7839
82	4361
82	4629
82	5014
82	5039
82	5040
82	5176
82	5322
82	5533
82	5552
82	5573
82	5655
82	5657
82	5658
82	5798
82	6369
83	2501
83	3476
83	3579
83	3619
83	4397
83	5014
83	5061
84	1360
84	2366
84	5014
84	5061
84	7264
85	328
85	1652
85	1846
85	2336
85	2366
85	3755
85	4484
85	5340
85	5563
85	5619
85	5665
85	5864
85	6907
85	7266
86	414
86	835
86	1652
86	1973
86	1974
86	2168
86	2602
86	3053
86	3564
86	3949
86	4037
86	4301
86	4775
86	4935
86	5049
86	5050
86	5095
86	5404
86	5434
86	5466
86	6369
86	6767
87	597
87	2988
87	3402
87	3648
87	4309
87	5551
87	5602
87	5878
87	6084
88	766
88	1360
88	1703
88	1721
88	2236
88	2249
88	2423
88	3331
88	3665
88	4503
88	6594
88	6878
88	6995
88	7313
89	633
89	901
89	4119
89	4160
89	4332
89	5196
89	5879
89	6321
89	7337
89	7518
90	81
90	1609
90	2915
90	3485
90	3948
90	3994
90	4397
90	6367
90	7599
91	773
91	1829
91	2048
91	2101
91	2979
91	3045
91	3755
91	4397
91	4688
91	5102
91	5174
91	5611
91	6000
92	1087
92	1829
92	2249
92	2418
92	2421
92	2466
92	2501
92	2942
92	4403
92	4543
92	5117
92	5169
92	5176
92	6878
93	218
93	402
93	813
93	1400
93	2033
93	2404
93	2503
93	2657
93	2950
93	3001
93	3331
93	3904
93	3975
93	4807
93	5154
93	5886
93	6414
94	439
94	766
94	2245
94	2253
94	2423
94	2433
94	3127
94	3657
94	3948
94	4051
94	4677
94	5255
94	5465
94	5510
94	5590
94	5730
94	5844
94	6153
94	6947
94	6949
95	882
95	2042
95	3052
95	3948
95	4315
95	4503
95	4712
95	5306
95	6578
95	7231
96	1765
96	3058
96	3564
96	3583
96	3898
96	4403
96	4629
96	4633
96	4688
96	4864
96	5434
96	5509
96	5808
96	5909
96	7035
97	61
97	2131
97	3052
97	4397
97	7109
98	61
98	1980
98	2047
98	5095
98	7437
98	7468
99	414
99	2315
99	2979
99	3564
99	3583
99	3888
99	4680
99	4981
99	5014
99	5039
99	5040
99	5064
99	5174
99	5176
99	5235
99	5403
99	5434
99	5613
99	5660
99	6734
100	553
100	961
100	3402
100	5798
100	5849
100	6050
101	1441
101	1657
101	1973
101	2047
101	2120
101	2253
101	2402
101	2418
101	3583
101	4301
101	4371
101	5325
101	5553
101	5613
101	6146
102	631
102	769
102	867
102	2116
102	2119
102	3304
102	3714
102	3844
102	4222
102	4285
102	4562
102	4573
102	4575
102	4752
102	4770
102	4995
102	5293
102	5300
102	5472
102	5721
102	5758
102	5789
103	698
103	1844
103	2949
103	5757
103	6333
103	6610
103	6627
103	6668
103	7805
104	174
104	1360
104	1441
104	1587
104	1980
104	2149
104	2302
104	2466
104	3325
104	3499
104	3949
104	4103
104	4626
104	4677
104	4935
104	5049
104	5102
104	5174
104	5402
104	5403
104	5512
104	5878
104	6153
104	6337
104	6734
104	6735
104	6774
104	7015
104	7070
104	7379
104	7773
105	821
105	1315
105	4087
105	5878
105	5952
106	1113
106	1657
106	1906
106	2172
106	2254
106	3781
106	3948
